address,city,state,zip_code,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
5420 86TH ST,INDIANAPOLIS,IN,46268,39.911048,-86.254813,1,range_interpolation,5420,W 86th St,Indianapolis,IN,Marion County,46268,US
5205 ROBISON RD,INDIANAPOLIS,IN,46268,39.923579,-86.245624,1,range_interpolation,5205,Robison Rd,Indianapolis,IN,Marion County,46268,US
5501 86TH ST,INDIANAPOLIS,IN,46268,39.910637,-86.257475,1,range_interpolation,5501,W 86th St,Indianapolis,IN,Marion County,46268,US
5121 86TH ST,INDIANAPOLIS,IN,46268,39.911044,-86.247056,1,range_interpolation,5121,W 86th St,Indianapolis,IN,Marion County,46268,US
6650 TELECOM DR,INDIANAPOLIS,IN,46278,39.875848,-86.269767,1,range_interpolation,6650,Telecom Dr,Indianapolis,IN,Marion County,46278,US
7601 MICHIGAN RD,INDIANAPOLIS,IN,46268,39.889688,-86.212234,1,range_interpolation,7601,Michigan Rd,Indianapolis,IN,Marion County,46268,US
7455 MICHIGAN RD,INDIANAPOLIS,IN,46268,39.888423,-86.211318,1,range_interpolation,7455,Michigan Rd,Indianapolis,IN,Marion County,46268,US
2915 75TH ST,INDIANAPOLIS,IN,46268,39.889146,-86.210774,1,range_interpolation,2915,75th Ct,Indianapolis,IN,Marion County,46268,US
7840 DITCH RD,INDIANAPOLIS,IN,46260,39.896614,-86.184124,1,range_interpolation,7840,Ditch Rd,Indianapolis,IN,Marion County,46260,US
6881 MICHIGAN RD,INDIANAPOLIS,IN,46268,39.880357,-86.207346,1,range_interpolation,6881,Michigan Rd,Indianapolis,IN,Marion County,46268,US
5835 MICHIGAN RD,INDIANAPOLIS,IN,46228,39.860269,-86.197785,1,range_interpolation,5835,Michigan Rd,Indianapolis,IN,Marion County,46228,US
6014 MICHIGAN RD,INDIANAPOLIS,IN,46228,39.862031,-86.19896,1,range_interpolation,6014,Michigan Rd,Indianapolis,IN,Marion County,46228,US
5102 62ND ST,INDIANAPOLIS,IN,46220,39.868841,-86.083439,1,range_interpolation,5102,E 62nd St,Indianapolis,IN,Marion County,46220,US
520 MCCARTY ST,INDIANAPOLIS,IN,46225,39.756602,-86.168152,1,range_interpolation,520,McCarty Ct,Indianapolis,IN,Marion County,46225,US
1501 PLEASANT ST,INDIANAPOLIS,IN,46203,39.754733,-86.133266,1,range_interpolation,1501,Pleasant St,Indianapolis,IN,Marion County,46203,US
1702 RAYMOND ST,INDIANAPOLIS,IN,46203,39.737793,-86.13035,1,range_interpolation,1702,E Raymond St,Indianapolis,IN,Marion County,46203,US
3110 BETHEL AVE,INDIANAPOLIS,IN,46203,39.741484,-86.111233,1,range_interpolation,3110,Bethel Ave,Indianapolis,IN,Marion County,46203,US
6929 38TH ST,INDIANAPOLIS,IN,46254,39.823195,-86.281671,1,range_interpolation,6929,38th Ct,Indianapolis,IN,Marion County,46254,US
6830 38TH ST,INDIANAPOLIS,IN,46254,39.823519,-86.280391,1,range_interpolation,6830,38th Ct,Indianapolis,IN,Marion County,46254,US
6750 EAGLE VIEW DR,INDIANAPOLIS,IN,46254,39.82416,-86.278806,1,range_interpolation,6750,Eagle View Dr,Indianapolis,IN,Marion County,46254,US
4102 SHORE DR,INDIANAPOLIS,IN,46254,39.829413,-86.279932,1,range_interpolation,4102,Shore Dr,Indianapolis,IN,Marion County,46254,US
7404 BLUEBIRD CT,INDIANAPOLIS,IN,46254,39.827852,-86.291442,1,range_interpolation,7404,Bluebird Ct,Indianapolis,IN,Marion County,46254,US
2426 BROOKSIDE AVE,INDIANAPOLIS,IN,46218,39.790867,-86.121551,1,range_interpolation,2426,E Brookside Ave,Indianapolis,IN,Marion County,46218,US
17 ARSENAL AVE,INDIANAPOLIS,IN,46201,39.766657,-86.133272,1,range_interpolation,17,Arsenal Ave,Indianapolis,IN,Marion County,46201,US
4402 WASHINGTON ST,INDIANAPOLIS,IN,46201,39.769779,-86.09375,1,range_interpolation,4402,Washington St,Indianapolis,IN,Marion County,46201,US
1641 MICHIGAN ST,INDIANAPOLIS,IN,46201,39.774166,-86.13189,1,range_interpolation,1641,E Michigan St,Indianapolis,IN,Marion County,46201,US
2179 BLUFF AVE,INDIANAPOLIS,IN,46225,39.743793,-86.167886,0.33,place,,,Indianapolis,IN,Marion County,46225,US
2012 TIPTON ST,INDIANAPOLIS,IN,46218,39.794346,-86.129738,1,range_interpolation,2012,Tipton St,Indianapolis,IN,Marion County,46218,US
3547 MASSACHUSETTS AVE,INDIANAPOLIS,IN,46218,39.799886,-86.105106,1,range_interpolation,3547,Massachusetts Ave,Indianapolis,IN,Marion County,46218,US
2121 SHELDON ST,INDIANAPOLIS,IN,46218,39.796715,-86.133054,1,range_interpolation,2121,Sheldon St,Indianapolis,IN,Marion County,46218,US
1212 25TH ST,INDIANAPOLIS,IN,46205,39.803489,-86.138283,1,range_interpolation,1212,E 25th St,Indianapolis,IN,Marion County,46205,US
2805 COLUMBIA AVE,INDIANAPOLIS,IN,46205,39.807092,-86.136769,1,range_interpolation,2805,Columbia Ave,Indianapolis,IN,Marion County,46205,US
1221 PENNSYLVANIA ST,INDIANAPOLIS,IN,46202,39.783341,-86.15561,1,range_interpolation,1221,Pennsylvania St,Indianapolis,IN,Marion County,46202,US
1833 NEW JERSEY ST,INDIANAPOLIS,IN,46202,39.791819,-86.150789,1,range_interpolation,1833,New Jersey St,Indianapolis,IN,Marion County,46202,US
144 16TH ST,INDIANAPOLIS,IN,46202,39.788514,-86.160557,1,range_interpolation,144,W 16th St,Indianapolis,IN,Marion County,46202,US
2157 TALBOTT ST,INDIANAPOLIS,IN,46202,39.796675,-86.154844,1,range_interpolation,2157,N Talbott St,Indianapolis,IN,Marion County,46202,US
2204 DUKE ST,INDIANAPOLIS,IN,46205,39.837615,-86.124293,1,range_interpolation,2204,Duke St,Indianapolis,IN,Marion County,46205,US
704 32ND ST,INDIANAPOLIS,IN,46205,39.814217,-86.14491,1,range_interpolation,704,E 32nd St,Indianapolis,IN,Marion County,46205,US
1030 ROACHE ST,INDIANAPOLIS,IN,46208,39.804777,-86.178876,1,range_interpolation,1030,Roache St,Indianapolis,IN,Marion County,46208,US
1202 EUGENE ST,INDIANAPOLIS,IN,46208,39.809295,-86.182849,1,range_interpolation,1202,Eugene St,Indianapolis,IN,Marion County,46208,US
2435 BARNES AVE,INDIANAPOLIS,IN,46208,39.801698,-86.182891,1,range_interpolation,2435,Barnes Ave,Indianapolis,IN,Marion County,46208,US
2951 CLIFTON ST,INDIANAPOLIS,IN,46208,39.80947,-86.180314,1,range_interpolation,2951,Clifton St,Indianapolis,IN,Marion County,46208,US
2602 HARDING ST,INDIANAPOLIS,IN,46208,39.80371,-86.187601,1,range_interpolation,2602,Harding Ct,Indianapolis,IN,Marion County,46208,US
2621 DR M L KING JR ST,INDIANAPOLIS,IN,46208,39.778821,-86.167749,0.8,street_center,,Dr M L King Jr St,Indianapolis,IN,Marion County,46202,US
430 FALL CREEK BLVD,INDIANAPOLIS,IN,46208,39.800307,-85.970722,0.8,street_center,,Fall Dr,Indianapolis,IN,Marion County,46229,US
5130 38TH ST,INDIANAPOLIS,IN,46254,39.82406,-86.247947,1,range_interpolation,5130,38th Ct,Indianapolis,IN,Marion County,46254,US
5320 38TH ST,INDIANAPOLIS,IN,46254,39.823999,-86.252174,1,range_interpolation,5320,38th Ct,Indianapolis,IN,Marion County,46254,US
3919 LAFAYETTE RD,INDIANAPOLIS,IN,46254,39.826433,-86.237093,1,range_interpolation,3919,Lafayette Rd,Indianapolis,IN,Marion County,46254,US
5318 38TH ST,INDIANAPOLIS,IN,46254,39.824,-86.252135,1,range_interpolation,5318,38th Ct,Indianapolis,IN,Marion County,46254,US
4920 38TH ST,INDIANAPOLIS,IN,46254,39.824087,-86.24285,1,range_interpolation,4920,38th Ct,Indianapolis,IN,Marion County,46254,US
3899 GEORGETOWN RD,INDIANAPOLIS,IN,46254,39.826963,-86.240117,1,range_interpolation,3899,Georgetown Rd,Indianapolis,IN,Marion County,46254,US
5358 38TH ST,INDIANAPOLIS,IN,46254,39.823986,-86.252932,1,range_interpolation,5358,38th Ct,Indianapolis,IN,Marion County,46254,US
3970 LAFAYETTE RD,INDIANAPOLIS,IN,46254,39.827244,-86.238388,1,range_interpolation,3970,Lafayette Rd,Indianapolis,IN,Marion County,46254,US
5052 38TH ST,INDIANAPOLIS,IN,46254,39.823773,-86.246231,1,range_interpolation,5052,38th Ct,Indianapolis,IN,Marion County,46254,US
5052 38TH ST,INDIANAPOLIS,IN,46254,39.823773,-86.246231,1,range_interpolation,5052,38th Ct,Indianapolis,IN,Marion County,46254,US
3840 LAFAYETTE RD,INDIANAPOLIS,IN,46254,39.824764,-86.235699,1,range_interpolation,3840,Lafayette Rd,Indianapolis,IN,Marion County,46254,US
5333 PIKE PLAZA RD,INDIANAPOLIS,IN,46254,39.830088,-86.25246,1,range_interpolation,5333,W Pike Plaza Rd,Indianapolis,IN,Marion County,46254,US
5302 WASHINGTON ST,INDIANAPOLIS,IN,46241,39.752953,-86.250331,1,range_interpolation,5302,Washington St,Indianapolis,IN,Marion County,46241,US
350 FULLER DR,INDIANAPOLIS,IN,46224,39.771624,-86.248315,1,range_interpolation,350,N Fuller Dr,Indianapolis,IN,Marion County,46224,US
4950 WASHINGTON ST,INDIANAPOLIS,IN,46241,39.755051,-86.24345,1,range_interpolation,4950,Washington St,Indianapolis,IN,Marion County,46241,US
5420 SOUTHERN AVE,INDIANAPOLIS,IN,46241,39.728215,-86.253428,1,range_interpolation,5420,W Southern Ave,Indianapolis,IN,Marion County,46241,US
2334 PRODUCTION DR,INDIANAPOLIS,IN,46241,39.734285,-86.261103,1,range_interpolation,2334,Production Dr,Indianapolis,IN,Marion County,46241,US
3433 16TH ST,INDIANAPOLIS,IN,46222,39.787653,-86.216852,1,range_interpolation,3433,W 16th St,Indianapolis,IN,Marion County,46222,US
3647 16TH ST,INDIANAPOLIS,IN,46222,39.787546,-86.222572,1,range_interpolation,3647,W 16th St,Indianapolis,IN,Marion County,46222,US
2429 17TH ST,INDIANAPOLIS,IN,46222,39.78878,-86.201775,1,range_interpolation,2429,W 17th St,Indianapolis,IN,Marion County,46222,US
6320 34TH ST,INDIANAPOLIS,IN,46224,39.816377,-86.270343,1,range_interpolation,6320,W 34th St,Indianapolis,IN,Marion County,46224,US
4002 HIGH SCHOOL RD,INDIANAPOLIS,IN,46254,39.828646,-86.270565,1,range_interpolation,4002,High School Rd,Indianapolis,IN,Marion County,46254,US
3920 HIGH SCHOOL RD,INDIANAPOLIS,IN,46254,39.826406,-86.270502,1,range_interpolation,3920,High School Rd,Indianapolis,IN,Marion County,46254,US
5510 38TH ST,INDIANAPOLIS,IN,46254,39.823943,-86.256958,1,range_interpolation,5510,38th Ct,Indianapolis,IN,Marion County,46254,US
6440 34TH ST,INDIANAPOLIS,IN,46224,39.816049,-86.271889,1,range_interpolation,6440,W 34th St,Indianapolis,IN,Marion County,46224,US
5635 38TH ST,INDIANAPOLIS,IN,46254,39.823622,-86.258257,1,range_interpolation,5635,38th Ct,Indianapolis,IN,Marion County,46254,US
4141 HIGH SCHOOL RD,INDIANAPOLIS,IN,46254,39.830438,-86.270294,1,range_interpolation,4141,High School Rd,Indianapolis,IN,Marion County,46254,US
6450 GATEWAY DR,INDIANAPOLIS,IN,46254,39.828717,-86.272443,1,range_interpolation,6450,Gateway Dr,Indianapolis,IN,Marion County,46254,US
5879 CENTRAL AVE,INDIANAPOLIS,IN,46220,39.861698,-86.150084,1,range_interpolation,5879,Central Ave,Indianapolis,IN,Marion County,46220,US
5201 COLLEGE AVE,INDIANAPOLIS,IN,46220,39.846786,-86.145763,1,range_interpolation,5201,College Ave N,Indianapolis,IN,Marion County,46220,US
1402 86TH ST,INDIANAPOLIS,IN,46240,39.912665,-86.136245,1,range_interpolation,1402,W 86th St,Indianapolis,IN,Marion County,46240,US
2130 86TH ST,INDIANAPOLIS,IN,46260,39.912156,-86.197883,1,range_interpolation,2130,W 86th St,Indianapolis,IN,Marion County,46260,US
6433 WASHINGTON ST,INDIANAPOLIS,IN,46219,39.771339,-86.057149,1,range_interpolation,6433,Washington St,Indianapolis,IN,Marion County,46219,US
5747 WASHINGTON ST,INDIANAPOLIS,IN,46219,39.770715,-86.069326,1,range_interpolation,5747,Washington St,Indianapolis,IN,Marion County,46219,US
5333 WASHINGTON ST,INDIANAPOLIS,IN,46219,39.770257,-86.078332,1,range_interpolation,5333,Washington St,Indianapolis,IN,Marion County,46219,US
3624 KEYSTONE AVE,INDIANAPOLIS,IN,46227,39.713203,-86.120802,1,range_interpolation,3624,S Keystone Ave,Indianapolis,IN,Marion County,46227,US
3029 SHELBY ST,INDIANAPOLIS,IN,46227,39.722271,-86.139688,0.7,range_interpolation,3029,Shelby St,Indianapolis,IN,Marion County,46227,US
1910 STOP 13 RD,INDIANAPOLIS,IN,46227,39.638695,-86.127105,1,range_interpolation,1910,E Stop 13th Rd,Indianapolis,IN,Marion County,46227,US
5021 KENTUCKY AVE,INDIANAPOLIS,IN,46221,39.691841,-86.273,1,range_interpolation,5021,Kentucky Ave,Indianapolis,IN,Marion County,46221,US
3115 MADISON AVE,INDIANAPOLIS,IN,46227,39.720522,-86.149053,1,range_interpolation,3115,Madison Ave,Indianapolis,IN,Marion County,46227,US
2601 DENISON ST,INDIANAPOLIS,IN,46241,39.727912,-86.23849,1,range_interpolation,2601,Denison St,Indianapolis,IN,Marion County,46241,US
2850 LYNHURST DR,INDIANAPOLIS,IN,46241,39.758933,-86.248045,0.27,place,,,Lynhurst,IN,Marion County,46241,US
2920 SHELBY ST,INDIANAPOLIS,IN,46203,39.724004,-86.139706,1,range_interpolation,2920,Shelby St,Indianapolis,IN,Marion County,46203,US
102 BELMAR AVE,INDIANAPOLIS,IN,46219,39.774331,-86.024761,1,range_interpolation,102,Belmar Ave,Indianapolis,IN,Marion County,46219,US
2901 KENWOOD AVE,INDIANAPOLIS,IN,46208,39.808217,-86.160181,1,range_interpolation,2901,S Kenwood Ave,Indianapolis,IN,Marion County,46208,US
2900 62ND ST,INDIANAPOLIS,IN,46220,39.868824,-86.115901,1,range_interpolation,2900,E 62nd St,Indianapolis,IN,Marion County,46220,US
2620 KESSLER BLVD EDR,INDIANAPOLIS,IN,46220,39.862203,-86.096541,0.8,street_center,,Kessler Ln,Indianapolis,IN,Marion County,46220,US
3818 PROSPECT ST,INDIANAPOLIS,IN,46203,39.752862,-86.101645,1,range_interpolation,3818,Prospect St,Indianapolis,IN,Marion County,46203,US
5160 65TH ST,INDIANAPOLIS,IN,46220,39.87611,-86.083415,1,range_interpolation,5160,E 65th St,Indianapolis,IN,Marion County,46220,US
7035 WESTERN SELECT DR,INDIANAPOLIS,IN,46219,39.800249,-86.045059,1,range_interpolation,7035,Western Select Dr,Indianapolis,IN,Marion County,46219,US
1904 BROAD RIPPLE AVE,INDIANAPOLIS,IN,46220,39.868799,-86.12821,1,range_interpolation,1904,Broad Ripple Ave,Indianapolis,IN,Marion County,46220,US
6185 GUILFORD AVE,INDIANAPOLIS,IN,46220,39.86796,-86.143059,1,range_interpolation,6185,Guilford Ave,Indianapolis,IN,Marion County,46220,US
6507 COLLEGE AVE,INDIANAPOLIS,IN,46220,39.873674,-86.146091,1,range_interpolation,6507,College Ave N,Indianapolis,IN,Marion County,46220,US
909 MAIN ST,INDIANAPOLIS,IN,46220,39.871934,-86.14285,1,range_interpolation,909,Main St,Indianapolis,IN,Marion County,46220,US
823 WESTFIELD BLVD,INDIANAPOLIS,IN,46220,39.870497,-86.144257,0.9,range_interpolation,823,E Westfield Blvd,Indianapolis,IN,Marion County,46220,US
820 64TH ST,INDIANAPOLIS,IN,46220,39.872696,-86.144039,1,range_interpolation,820,E 64th St,Indianapolis,IN,Marion County,46220,US
6552 CORNELL AVE,INDIANAPOLIS,IN,46220,39.875051,-86.142527,1,range_interpolation,6552,Cornell Ave,Indianapolis,IN,Marion County,46220,US
850 BROAD RIPPLE AVE,INDIANAPOLIS,IN,46220,39.869856,-86.14407,1,range_interpolation,850,Broad Ripple Ave,Indianapolis,IN,Marion County,46220,US
804 BROAD RIPPLE AVE,INDIANAPOLIS,IN,46220,39.869843,-86.144717,1,range_interpolation,804,Broad Ripple Ave,Indianapolis,IN,Marion County,46220,US
6543 FERGUSON ST,INDIANAPOLIS,IN,46220,39.874548,-86.143422,1,range_interpolation,6543,Ferguson St,Indianapolis,IN,Marion County,46220,US
1305 BROAD RIPPLE AVE,INDIANAPOLIS,IN,46220,39.86887,-86.13589,1,range_interpolation,1305,Broad Ripple Ave,Indianapolis,IN,Marion County,46220,US
6050 MERIDIAN ST,INDIANAPOLIS,IN,46208,39.863431,-86.157458,1,range_interpolation,6050,Meridian Ln,Indianapolis,IN,Marion County,46208,US
6410 FERGUSON ST,INDIANAPOLIS,IN,46220,39.872633,-86.143702,1,range_interpolation,6410,Ferguson St,Indianapolis,IN,Marion County,46220,US
6357 GUILFORD AVE,INDIANAPOLIS,IN,46220,39.871647,-86.142737,1,range_interpolation,6357,Guilford Ave,Indianapolis,IN,Marion County,46220,US
6281 COLLEGE AVE,INDIANAPOLIS,IN,46220,39.86935,-86.14596,1,range_interpolation,6281,College Ave N,Indianapolis,IN,Marion County,46220,US
5602 ILLINOIS ST,INDIANAPOLIS,IN,46208,39.854191,-86.159656,1,range_interpolation,5602,S Illinois St,Indianapolis,IN,Marion County,46208,US
8550 EVERGREEN AVE,INDIANAPOLIS,IN,46240,39.91162,-86.138616,0.9,range_interpolation,8550,Evergreen Ave,Indianapolis,IN,Marion County,46240,US
6751 CLARA ST,INDIANAPOLIS,IN,46250,39.904297,-86.050274,1,range_interpolation,6751,Clara St,Indianapolis,IN,Marion County,46250,US
8541 BASH ST,INDIANAPOLIS,IN,46250,39.912222,-86.046416,1,range_interpolation,8541,Bash St,Indianapolis,IN,Marion County,46250,US
6330 CASTLEPLACE DR,INDIANAPOLIS,IN,46250,39.901096,-86.058803,1,range_interpolation,6330,Castleplace Dr,Indianapolis,IN,Marion County,46250,US
7110 10TH ST,INDIANAPOLIS,IN,46214,39.779443,-86.285039,1,range_interpolation,7110,10th St,Indianapolis,IN,Marion County,46214,US
7507 ROCKVILLE RD,INDIANAPOLIS,IN,46214,39.764096,-86.292905,1,range_interpolation,7507,Rockville Rd,Indianapolis,IN,Marion County,46214,US
55 HIGH SCHOOL RD,INDIANAPOLIS,IN,46241,39.763954,-86.269716,1,range_interpolation,55,High School Rd,Indianapolis,IN,Marion County,46241,US
1788 HAYNES AVE,INDIANAPOLIS,IN,46240,39.886389,-86.129624,1,range_interpolation,1788,Haynes Ave,Indianapolis,IN,Marion County,46240,US
3841 82ND ST,INDIANAPOLIS,IN,46240,39.909551,-86.104012,1,range_interpolation,3841,E 82nd St,Indianapolis,IN,Marion County,46240,US
9505 DELEGATES ROW,INDIANAPOLIS,IN,46240,39.926272,-86.099312,1,range_interpolation,9505,Delegates Row,Indianapolis,IN,Marion County,46240,US
8487 UNION CHAPEL RD,INDIANAPOLIS,IN,46240,39.910566,-86.106744,1,range_interpolation,8487,Union Chapel Rd,Indianapolis,IN,Marion County,46240,US
8800 RIVER CROSSING BLVD,INDIANAPOLIS,IN,46240,39.916308,-86.106614,1,range_interpolation,8800,River Crossing Blvd,Indianapolis,IN,Marion County,46240,US
2135 FOX HILL DR,INDIANAPOLIS,IN,46228,39.864914,-86.197437,1,range_interpolation,2135,Fox Hill Dr,Indianapolis,IN,Marion County,46228,US
5323 LADYWOOD KNOLL PL,INDIANAPOLIS,IN,46226,39.849983,-86.087845,1,range_interpolation,5323,Ladywood Knoll Pl,Indianapolis,IN,Marion County,46226,US
1211 DR M L KING JR ST,INDIANAPOLIS,IN,46202,39.778821,-86.167749,0.8,street_center,,Dr M L King Jr St,Indianapolis,IN,Marion County,46202,US
239 MICHIGAN ST,INDIANAPOLIS,IN,46204,39.773849,-86.153195,1,range_interpolation,239,Michigan Rd,Indianapolis,IN,Marion County,46204,US
20 LOUISIANA ST,INDIANAPOLIS,IN,46225,39.76306,-86.15838,1,range_interpolation,20,W Louisiana St,Indianapolis,IN,Marion County,46225,US
802 WEST ST,INDIANAPOLIS,IN,46225,39.743793,-86.167886,0.33,place,,,Indianapolis,IN,Marion County,46225,US
627 PENNSYLVANIA ST,INDIANAPOLIS,IN,46204,39.758725,-86.15646,1,range_interpolation,627,Pennsylvania St,Indianapolis,IN,Marion County,46204,US
102 COLLEGE AVE,INDIANAPOLIS,IN,46202,39.765168,-86.145869,1,range_interpolation,102,S College Ave,Indianapolis,IN,Marion County,46202,US
220 MERIDIAN ST,INDIANAPOLIS,IN,46204,39.770208,-86.158133,1,range_interpolation,220,S Meridian St,Indianapolis,IN,Marion County,46204,US
863 MASSACHUSETTS AVE,INDIANAPOLIS,IN,46204,39.778507,-86.14385,1,range_interpolation,863,Massachusetts Ave,Indianapolis,IN,Marion County,46204,US
227 MCCARTY ST,INDIANAPOLIS,IN,46225,39.756475,-86.162704,1,range_interpolation,227,McCarty Ct,Indianapolis,IN,Marion County,46225,US
1901 LINDEN ST,INDIANAPOLIS,IN,46203,39.741404,-86.136742,1,range_interpolation,1901,Linden St,Indianapolis,IN,Marion County,46203,US
7001 46TH ST,INDIANAPOLIS,IN,46254,39.837809,-86.28381,1,range_interpolation,7001,W 46th St,Indianapolis,IN,Marion County,46254,US
6943 38TH ST,INDIANAPOLIS,IN,46254,39.823187,-86.281949,1,range_interpolation,6943,38th Ct,Indianapolis,IN,Marion County,46254,US
8135 CRAWFORDSVILLE RD,INDIANAPOLIS,IN,46214,39.809508,-86.305259,1,range_interpolation,8135,Crawfordsville Rd,Indianapolis,IN,Marion County,46214,US
2647 WATERFRONT PKWY EDR,INDIANAPOLIS,IN,46214,39.804177,-86.282654,0.9,range_interpolation,2647,Waterfront Pkwy West Dr,Indianapolis,IN,Marion County,46214,US
1203 ROOSEVELT AVE,INDIANAPOLIS,IN,46202,39.782605,-86.138833,1,range_interpolation,1203,Roosevelt Ave,Indianapolis,IN,Marion County,46202,US
1638 SHELBY ST,INDIANAPOLIS,IN,46203,39.745877,-86.139944,1,range_interpolation,1638,Shelby St,Indianapolis,IN,Marion County,46203,US
1549 MADISON AVE,INDIANAPOLIS,IN,46225,39.745864,-86.154068,1,range_interpolation,1549,Madison Ave,Indianapolis,IN,Marion County,46225,US
2730 COLUMBIA AVE,INDIANAPOLIS,IN,46205,39.805751,-86.137047,1,range_interpolation,2730,Columbia Ave,Indianapolis,IN,Marion County,46205,US
2260 ARSENAL AVE,INDIANAPOLIS,IN,46218,39.799579,-86.134475,1,range_interpolation,2260,Arsenal Ave,Indianapolis,IN,Marion County,46218,US
4958 RIBBLE RD,INDIANAPOLIS,IN,46218,39.810293,-86.089246,1,range_interpolation,4958,Ribble Rd,Indianapolis,IN,Marion County,46218,US
3243 SHERMAN DR,INDIANAPOLIS,IN,46218,39.814592,-86.102469,1,range_interpolation,3243,Sherman Cir,Indianapolis,IN,Marion County,46218,US
2435 STATION ST,INDIANAPOLIS,IN,46218,39.802544,-86.103924,1,range_interpolation,2435,Station St,Indianapolis,IN,Marion County,46218,US
1902 HILLSIDE AVE,INDIANAPOLIS,IN,46218,39.79351,-86.12987,1,range_interpolation,1902,Hillside Ave,Indianapolis,IN,Marion County,46218,US
2349 KEYSTONE WAY,INDIANAPOLIS,IN,46218,39.801729,-86.121202,1,range_interpolation,2349,Keystone Way,Indianapolis,IN,Marion County,46218,US
1551 ILLINOIS ST,INDIANAPOLIS,IN,46202,39.787797,-86.159298,1,range_interpolation,1551,N Illinois St,Indianapolis,IN,Marion County,46202,US
2140 CENTRAL AVE,INDIANAPOLIS,IN,46202,39.796969,-86.149653,1,range_interpolation,2140,Central Ave,Indianapolis,IN,Marion County,46202,US
1557 CENTRAL AVE,INDIANAPOLIS,IN,46202,39.78762,-86.149297,1,range_interpolation,1557,Central Ave,Indianapolis,IN,Marion County,46202,US
1660 BELLEFONTAINE ST,INDIANAPOLIS,IN,46202,39.789614,-86.142494,1,range_interpolation,1660,Bellefontaine St,Indianapolis,IN,Marion County,46202,US
1905 COLLEGE AVE,INDIANAPOLIS,IN,46202,39.79221,-86.144593,0.9,range_interpolation,1905,N College Ave,Indianapolis,IN,Marion County,46202,US
717 25TH ST,INDIANAPOLIS,IN,46205,39.802928,-86.144553,1,range_interpolation,717,E 25th St,Indianapolis,IN,Marion County,46205,US
1935 CAPITOL AVE,INDIANAPOLIS,IN,46202,39.792337,-86.16134,1,range_interpolation,1935,N Capitol Ave,Indianapolis,IN,Marion County,46202,US
5561 KEYSTONE AVE,INDIANAPOLIS,IN,46220,39.854064,-86.12195,0.9,range_interpolation,5561,N Keystone Ave,Indianapolis,IN,Marion County,46220,US
1635 GENT AVE,INDIANAPOLIS,IN,46202,39.789127,-86.182527,1,range_interpolation,1635,Gent Ave,Indianapolis,IN,Marion County,46202,US
630 28TH ST,INDIANAPOLIS,IN,46208,39.806649,-86.170718,1,range_interpolation,630,W 28th St,Indianapolis,IN,Marion County,46208,US
2701 CALIFORNIA ST,INDIANAPOLIS,IN,46208,39.805166,-86.170285,1,range_interpolation,2701,S California St,Indianapolis,IN,Marion County,46208,US
4404 GUION RD,INDIANAPOLIS,IN,46254,39.834497,-86.226962,1,range_interpolation,4404,Guion Rd,Indianapolis,IN,Marion County,46254,US
5199 LAFAYETTE RD,INDIANAPOLIS,IN,46254,39.845724,-86.256203,1,range_interpolation,5199,Lafayette Rd,Indianapolis,IN,Marion County,46254,US
5034 LAFAYETTE RD,INDIANAPOLIS,IN,46254,39.84371,-86.254233,1,range_interpolation,5034,Lafayette Rd,Indianapolis,IN,Marion County,46254,US
5198 LAFAYETTE RD,INDIANAPOLIS,IN,46254,39.845724,-86.256203,1,range_interpolation,5198,Lafayette Rd,Indianapolis,IN,Marion County,46254,US
5202 LAFAYETTE RD,INDIANAPOLIS,IN,46254,39.845677,-86.256356,1,range_interpolation,5202,Lafayette Rd,Indianapolis,IN,Marion County,46254,US
5350 WETHERBY CT,INDIANAPOLIS,IN,46254,39.848675,-86.240089,1,range_interpolation,5350,Wetherby Ct,Indianapolis,IN,Marion County,46254,US
4853 56TH ST,INDIANAPOLIS,IN,46254,39.853094,-86.242028,1,range_interpolation,4853,E 56th St,Indianapolis,IN,Marion County,46254,US
5585 GEORGETOWN RD,INDIANAPOLIS,IN,46254,39.853212,-86.239896,1,range_interpolation,5585,Georgetown Rd,Indianapolis,IN,Marion County,46254,US
4860 56TH ST,INDIANAPOLIS,IN,46254,39.853405,-86.241281,1,range_interpolation,4860,E 56th St,Indianapolis,IN,Marion County,46254,US
5580 GEORGETOWN RD,INDIANAPOLIS,IN,46254,39.852981,-86.240206,1,range_interpolation,5580,Georgetown Rd,Indianapolis,IN,Marion County,46254,US
5472 GEORGETOWN RD,INDIANAPOLIS,IN,46254,39.851276,-86.240855,1,range_interpolation,5472,Georgetown Rd,Indianapolis,IN,Marion County,46254,US
5669 YORKVILLE CT,INDIANAPOLIS,IN,46254,39.855987,-86.262002,1,range_interpolation,5669,Yorkville Ct,Indianapolis,IN,Marion County,46254,US
4470 56TH ST,INDIANAPOLIS,IN,46254,39.853463,-86.236571,1,range_interpolation,4470,E 56th St,Indianapolis,IN,Marion County,46254,US
5943 LAFAYETTE RD,INDIANAPOLIS,IN,46254,39.860535,-86.270387,1,range_interpolation,5943,Lafayette Rd,Indianapolis,IN,Marion County,46254,US
4020 LAFAYETTE RD,INDIANAPOLIS,IN,46254,39.828192,-86.239144,1,range_interpolation,4020,Lafayette Rd,Indianapolis,IN,Marion County,46254,US
