address,city,state,zip_code,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country
1211 DR M L KING JR ST,INDIANAPOLIS,IN,46202,39.778821,-86.167749,0.8,street_center,,Dr M L King Jr St,Indianapolis,IN,Marion County,46202,US
1011 PENNSYLVANIA ST,INDIANAPOLIS,IN,46204,39.781329,-86.155598,1,range_interpolation,1011,Pennsylvania St,Indianapolis,IN,Marion County,46204,US
1429 SHELBY ST,INDIANAPOLIS,IN,46203,39.747666,-86.139643,1,range_interpolation,1429,Shelby St,Indianapolis,IN,Marion County,46203,US
1645 SOUTHEASTERN AVE,INDIANAPOLIS,IN,46201,39.763894,-86.131533,1,range_interpolation,1645,Southeastern Ave,Indianapolis,IN,Marion County,46201,US
1628 BATES ST,INDIANAPOLIS,IN,46201,39.762098,-86.131569,1,range_interpolation,1628,Bates St,Indianapolis,IN,Marion County,46201,US
1648 CRUFT ST,INDIANAPOLIS,IN,46203,39.729594,-86.131879,1,range_interpolation,1648,Cruft St,Indianapolis,IN,Marion County,46203,US
6971 38TH ST,INDIANAPOLIS,IN,46254,39.823171,-86.282919,1,range_interpolation,6971,38th Ct,Indianapolis,IN,Marion County,46254,US
57 RURAL ST,INDIANAPOLIS,IN,46201,39.767218,-86.116284,1,range_interpolation,57,S Rural St,Indianapolis,IN,Marion County,46201,US
4602 16TH ST,INDIANAPOLIS,IN,46201,39.788967,-86.091679,1,range_interpolation,4602,E 16th St,Indianapolis,IN,Marion County,46201,US
2208 WASHINGTON ST,INDIANAPOLIS,IN,46201,39.767945,-86.124152,1,range_interpolation,2208,Washington St,Indianapolis,IN,Marion County,46201,US
4232 MICHIGAN ST,INDIANAPOLIS,IN,46201,39.774919,-86.095935,1,range_interpolation,4232,E Michigan St,Indianapolis,IN,Marion County,46201,US
1246 EAST ST,INDIANAPOLIS,IN,46225,39.743793,-86.167886,0.33,place,,,Indianapolis,IN,Marion County,46225,US
4200 38TH ST NDR,INDIANAPOLIS,IN,46218,39.825826,-86.097968,1,range_interpolation,4200,38th Ct,Indianapolis,IN,Marion County,46218,US
3801 FOREST MANOR AVE,INDIANAPOLIS,IN,46226,39.825526,-86.097968,1,range_interpolation,3801,Forest Manor Ave,Indianapolis,IN,Marion County,46226,US
2620 SHERMAN DR,INDIANAPOLIS,IN,46218,39.805044,-86.102642,1,range_interpolation,2620,Sherman Cir,Indianapolis,IN,Marion County,46218,US
2141 HOVEY ST,INDIANAPOLIS,IN,46218,39.797115,-86.13199,1,range_interpolation,2141,Hovey St,Indianapolis,IN,Marion County,46218,US
2951 RALSTON AVE,INDIANAPOLIS,IN,46218,39.809835,-86.13098,1,range_interpolation,2951,Ralston Ave,Indianapolis,IN,Marion County,46218,US
2407 SHERMAN DR,INDIANAPOLIS,IN,46218,39.801721,-86.102292,1,range_interpolation,2407,Sherman Cir,Indianapolis,IN,Marion County,46218,US
1918 YANDES ST,INDIANAPOLIS,IN,46202,39.792508,-86.138157,1,range_interpolation,1918,Yandes St,Indianapolis,IN,Marion County,46202,US
1102 16TH ST,INDIANAPOLIS,IN,46202,39.788858,-86.180157,1,range_interpolation,1102,W 16th St,Indianapolis,IN,Marion County,46202,US
2557 COLUMBIA AVE,INDIANAPOLIS,IN,46205,39.803875,-86.136723,1,range_interpolation,2557,Columbia Ave,Indianapolis,IN,Marion County,46205,US
1737 30TH ST,INDIANAPOLIS,IN,46218,39.810583,-86.130216,1,range_interpolation,1737,W 30th St,Indianapolis,IN,Marion County,46218,US
2212 DR A J BROWN AVE,INDIANAPOLIS,IN,46205,39.829397,-86.134374,0.33,place,,,Indianapolis,IN,Marion County,46205,US
3205 DR A J BROWN AVE,INDIANAPOLIS,IN,46205,39.829397,-86.134374,0.33,place,,,Indianapolis,IN,Marion County,46205,US
2311 30TH ST,INDIANAPOLIS,IN,46218,39.810604,-86.122711,1,range_interpolation,2311,W 30th St,Indianapolis,IN,Marion County,46218,US
3740 SHERMAN DR,INDIANAPOLIS,IN,46218,39.824169,-86.102855,1,range_interpolation,3740,Sherman Cir,Indianapolis,IN,Marion County,46218,US
3929 MILLERSVILLE RD,INDIANAPOLIS,IN,46205,39.827023,-86.127811,1,range_interpolation,3929,Millersville Rd,Indianapolis,IN,Marion County,46205,US
1920 38TH ST,INDIANAPOLIS,IN,46218,39.825544,-86.126851,1,range_interpolation,1920,38th Ct,Indianapolis,IN,Marion County,46218,US
4016 KEYSTONE AVE,INDIANAPOLIS,IN,46205,39.828767,-86.121924,1,range_interpolation,4016,S Keystone Ave,Indianapolis,IN,Marion County,46205,US
2739 38TH ST,INDIANAPOLIS,IN,46218,39.825166,-86.118193,1,range_interpolation,2739,38th Ct,Indianapolis,IN,Marion County,46218,US
3929 MILLERSVILLE RD,INDIANAPOLIS,IN,46205,39.827023,-86.127811,1,range_interpolation,3929,Millersville Rd,Indianapolis,IN,Marion County,46205,US
1618 34TH ST,INDIANAPOLIS,IN,46218,39.818199,-86.132415,1,range_interpolation,1618,W 34th St,Indianapolis,IN,Marion County,46218,US
2182 ILLINOIS ST,INDIANAPOLIS,IN,46202,39.796953,-86.159274,1,range_interpolation,2182,N Illinois St,Indianapolis,IN,Marion County,46202,US
1811 MERIDIAN ST,INDIANAPOLIS,IN,46202,39.790891,-86.15715,1,range_interpolation,1811,N Meridian St,Indianapolis,IN,Marion County,46202,US
944 30TH ST,INDIANAPOLIS,IN,46205,39.810795,-86.140291,1,range_interpolation,944,E 30th St,Indianapolis,IN,Marion County,46205,US
2145 TALBOTT ST,INDIANAPOLIS,IN,46202,39.796481,-86.154844,1,range_interpolation,2145,N Talbott St,Indianapolis,IN,Marion County,46202,US
2458 PENNSYLVANIA ST,INDIANAPOLIS,IN,46205,39.80219,-86.155651,1,range_interpolation,2458,Pennsylvania St,Indianapolis,IN,Marion County,46205,US
1517 ALABAMA ST,INDIANAPOLIS,IN,46202,39.787767,-86.152038,1,range_interpolation,1517,N Alabama St,Indianapolis,IN,Marion County,46202,US
140 14TH ST,INDIANAPOLIS,IN,46202,39.786063,-86.16045,1,range_interpolation,140,W 14th St,Indianapolis,IN,Marion County,46202,US
1456 DELAWARE ST,INDIANAPOLIS,IN,46202,39.786844,-86.154129,1,range_interpolation,1456,N Delaware St,Indianapolis,IN,Marion County,46202,US
1402 ILLINOIS ST,INDIANAPOLIS,IN,46202,39.785914,-86.159587,1,range_interpolation,1402,N Illinois St,Indianapolis,IN,Marion County,46202,US
2459 COLLEGE AVE,INDIANAPOLIS,IN,46205,39.802334,-86.144617,1,range_interpolation,2459,College Ave N,Indianapolis,IN,Marion County,46205,US
2480 MERIDIAN ST,INDIANAPOLIS,IN,46208,39.803478,-86.156774,1,range_interpolation,2480,Meridian Ln,Indianapolis,IN,Marion County,46208,US
1505 DELAWARE ST,INDIANAPOLIS,IN,46202,39.7875,-86.153835,1,range_interpolation,1505,N Delaware St,Indianapolis,IN,Marion County,46202,US
725 27TH ST,INDIANAPOLIS,IN,46205,39.805297,-86.144495,1,range_interpolation,725,E 27th St,Indianapolis,IN,Marion County,46205,US
2146 PARK AVE,INDIANAPOLIS,IN,46202,39.796667,-86.148083,1,range_interpolation,2146,Park Ave,Indianapolis,IN,Marion County,46202,US
2201 CENTRAL AVE,INDIANAPOLIS,IN,46205,39.797336,-86.149503,1,range_interpolation,2201,Central Ave,Indianapolis,IN,Marion County,46205,US
1740 PENNSYLVANIA ST,INDIANAPOLIS,IN,46202,39.790013,-86.156148,1,range_interpolation,1740,Pennsylvania St,Indianapolis,IN,Marion County,46202,US
